CRN,latitude,longitude,year,month,hour,day,weather,road_cond,light_cond,severity
2024056309,41.789935,-75.685984,2024,6,,7,3.0,1,,3
2024056310,39.823627,-79.770501,2024,6,,1,3.0,1,,0
2024056334,40.909043,-78.324053,2024,6,,7,4.0,1,,8
2024056341,40.968443,-78.883375,2024,6,,2,3.0,1,,4
2024056345,40.369524,-76.962844,2024,6,,3,3.0,1,,0
2024056346,40.21889,-79.98483,2024,6,,3,3.0,1,,0
2024056347,41.823886,-75.680601,2024,6,,4,3.0,1,,0
2024056427,41.015265,-76.399273,2024,6,,4,3.0,1,,0
2024056473,40.119488,-80.474671,2024,6,,7,3.0,1,,0
2024056475,40.162351,-77.139809,2024,6,,2,3.0,1,,0
2024056478,40.598955,-79.926064,2024,6,,3,3.0,1,,0
2024056480,40.806282,-76.923331,2024,6,,3,4.0,1,,0
2024056530,40.795653,-75.782232,2024,6,,4,3.0,1,,4
2024056548,41.919803,-78.65106,2024,6,,6,3.0,1,,4
2024056585,40.261741,-76.467707,2024,3,,6,3.0,1,,4
2024056626,40.589549,-78.138699,2024,6,,3,3.0,1,,0
2024056654,40.278891,-75.790654,2024,6,,6,3.0,1,,0
2024056661,40.229151,-76.88714,2024,6,,6,3.0,1,,0
2024056678,40.165034,-75.085029,2024,6,,1,3.0,1,,0
2024056682,40.810166,-75.288723,2024,6,,7,3.0,1,,0
2024056685,40.213682,-75.142294,2024,6,,7,3.0,1,,0
2024056707,41.290334,-79.907579,2024,6,,5,3.0,1,,0
2024056751,40.728779,-75.380475,2024,6,,7,3.0,1,,0
2024056772,40.226913,-78.927587,2024,6,,4,4.0,9,,0
2024056838,40.07139,-78.519878,2024,6,,4,3.0,1,,0
2024056862,40.717973,-77.930684,2024,6,,7,4.0,1,,8
2024057072,41.154848,-77.194945,2024,5,,4,3.0,1,,3
2024057076,40.729781,-80.103408,2024,6,,1,7.0,9,,0
2024057082,41.149814,-76.910855,2024,6,,3,5.0,1,,0
2024057095,41.614088,-80.169442,2024,6,,5,3.0,1,,3
2024057097,39.819492,-78.659149,2024,6,,6,3.0,1,,0
2024057098,41.231258,-76.678724,2024,6,,6,3.0,1,,0
2024057143,40.531213,-75.402564,2024,6,,7,3.0,1,,3
2024057152,40.974685,-80.302759,2024,6,,7,3.0,1,,0
2024057185,41.600056,-77.104103,2024,5,,7,3.0,1,,0
2024057186,40.187824,-76.844565,2024,5,,1,3.0,1,,3
2024057191,39.876705,-76.699093,2024,6,,2,3.0,1,,3
2024057199,40.043851,-76.74965,2024,6,,6,3.0,1,,0
2024057206,39.80553,-79.505918,2024,6,,4,3.0,1,,8
2024057208,40.084654,-76.766783,2024,6,,5,3.0,1,,0
2024057234,40.7408,-79.804985,2024,6,,1,3.0,1,,0
2024057413,41.313733,-77.835278,2024,6,,3,3.0,1,,0
2024057415,41.458756,-79.91421,2024,6,,4,3.0,1,,0
2024057444,40.076948,-75.481368,2024,6,,7,3.0,1,,0
2024057455,40.020026,-79.040792,2024,6,,1,3.0,1,,3
2024057471,40.136025,-75.422079,2024,6,,4,3.0,1,,8
2024057549,40.746762,-75.800274,2024,6,,7,3.0,1,,0
2024057579,40.363093,-75.991291,2024,7,,2,3.0,1,,0
2024057583,41.187697,-79.234291,2024,5,,6,3.0,1,,0
2024057591,40.422304,-80.353543,2024,6,,6,3.0,1,,3
2024057714,40.364373,-79.271264,2024,6,,6,3.0,1,,0
2024057848,40.128569,-76.505446,2024,6,,6,3.0,1,,0
2024057859,40.590722,-75.497492,2024,6,,2,3.0,1,,0
2024057880,40.998147,-75.608958,2024,5,,6,3.0,1,,0
2024057898,40.475156,-76.037286,2024,6,,1,3.0,1,,9
2024057912,40.619682,-79.54473,2024,6,,7,3.0,1,,0
2024057923,40.342351,-79.134121,2024,6,,2,3.0,1,,0
2024057930,40.25591,-79.77146,2024,6,,4,3.0,1,,0
2024057933,40.158612,-79.326956,2024,6,,5,3.0,1,,2
2024057946,41.741494,-75.468553,2024,6,,1,3.0,1,,3
2024057982,41.928694,-80.175682,2024,6,,3,3.0,1,,3
2024058000,41.207291,-75.797123,2024,6,,6,3.0,1,,0
2024058027,41.773948,-77.708847,2024,6,,7,3.0,1,,0
2024058037,40.839101,-79.44032,2024,6,,1,3.0,1,,0
2024058050,40.791213,-79.576333,2024,6,,4,3.0,9,,3
2024058055,40.251434,-75.728288,2024,6,,6,3.0,1,,0
2024058065,40.68799,-79.711012,2024,7,,3,3.0,1,,0
2024058190,41.223283,-75.486581,2024,5,,3,3.0,1,,0
2024058192,39.749303,-77.407007,2024,5,,1,3.0,1,,0
2024058218,40.505009,-75.285343,2024,6,,5,3.0,1,,2
2024058246,40.82905,-78.679258,2024,6,,6,3.0,1,,3
2024058250,41.138104,-78.969072,2024,6,,7,3.0,1,,0
2024058280,40.069781,-79.907124,2024,7,,3,3.0,1,,0
2024058286,41.258864,-76.898996,2024,7,,4,3.0,1,,3
2024058303,40.478949,-79.732366,2024,7,,4,3.0,1,,0
2024058360,40.489897,-80.126431,2024,3,,2,3.0,1,,0
2024058396,40.049687,-79.060213,2024,7,,2,3.0,1,,0
2024058487,40.799642,-75.294778,2024,6,,2,3.0,1,,0
2024058490,40.485025,-76.862484,2024,6,,7,3.0,1,,8
2024058491,41.390537,-75.548935,2024,6,,7,3.0,1,,0
2024058492,41.970818,-77.195437,2024,6,,2,3.0,1,,0
2024058493,41.779887,-77.077144,2024,6,,2,3.0,1,,0
2024058500,40.589824,-75.372802,2024,6,,1,3.0,1,,0
2024058624,40.859365,-76.694214,2024,6,,7,3.0,1,,0
2024058675,41.110425,-75.441984,2024,6,,5,3.0,1,,0
2024058706,39.753311,-77.401344,2024,7,,3,3.0,1,,3
