latitude,longitude,month,hour,day,severity,weather_3.0,weather_4.0,weather_5.0,weather_6.0,weather_7.0,weather_10.0,weather_98.0,weather_99.0,road_cond_2,road_cond_3,road_cond_6,road_cond_7,road_cond_8,road_cond_9,road_cond_98,road_cond_99,season_spring,season_summer,season_winter
41.463088,-80.346049,1,,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.493175,-75.845824,1,,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.515539,-79.953308,1,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.776352,-80.215477,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.061968,-76.510371,1,,7,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.184637,-80.146015,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.097011,-75.172368,1,,6,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.307481,-75.077029,1,,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.918579,-79.945315,1,,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
39.873446,-79.88671,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39.804831,-75.944488,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.683981,-75.782341,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
40.118828,-79.499973,1,,5,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
39.829573,-75.824457,1,,7,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
40.227917,-77.038833,1,,2,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.267186,-76.972654,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.371041,-75.989646,1,,6,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.12115,-76.743385,1,,4,4,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.570019,-77.240195,1,,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39.93245,-79.729174,1,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.027238,-79.905112,1,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.059164,-76.754482,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.423133,-79.818448,1,,2,3,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
39.930542,-76.772257,1,,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39.875633,-75.360696,1,,5,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
41.323479,-75.907908,1,,3,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.883193,-79.962144,1,,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.995003,-80.252878,1,,2,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39.984533,-76.458628,1,,6,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.428391,-80.218022,1,,3,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.813134,-80.176429,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.285498,-75.507799,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.520298,-75.869739,1,,2,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.191222,-80.492197,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.084076,-79.488197,1,,4,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
41.001848,-76.435578,2,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.037363,-76.839752,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.230465,-79.893776,1,,5,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
40.199167,-76.865125,1,,6,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
40.214449,-75.238555,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.298621,-75.128441,1,,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.169006,-78.993314,1,,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.624648,-77.592176,1,,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.531924,-75.602435,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.239947,-75.692583,2,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.327986,-76.610234,2,,6,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.042856,-75.63415,2,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.604688,-77.584024,2,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.202284,-75.09194,2,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.54194,-77.329931,2,,6,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.313317,-80.152557,2,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39.989603,-76.267524,2,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.317075,-75.573,1,,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.263964,-75.915768,2,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39.886985,-77.965833,1,,6,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
39.754232,-77.399912,2,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.376978,-76.641315,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.211945,-76.101776,2,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.344621,-75.307529,2,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.305887,-76.621601,1,,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.325769,-77.058175,1,,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
39.828909,-75.826418,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.66523,-76.203914,2,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.589487,-76.433063,2,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.802308,-79.815003,2,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.602843,-79.207377,1,,2,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.657202,-80.089797,2,,6,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.517637,-78.75434,2,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.240624,-75.186267,2,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.15927,-77.222455,1,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
